Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2022-03-12;61342.0;9.1;8.1
2022-03-18;67945.0;9.5;8.6
2022-03-20;57718.0;9.8;8.8
2022-03-27;49718.0;13.2;9.5
2022-03-28;58960.0;13.6;9.7
2022-03-31;64228.0;7.5;10.0
2022-04-05;70336.0;9.2;10.6
2022-04-13;57868.0;13.7;11.6
2022-04-17;44527.0;14.1;12.1
2022-04-18;46343.0;13.0;12.3
2022-05-12;52411.0;16.8;15.3
2022-05-16;51955.0;19.9;15.8
2022-05-17;53168.0;21.5;15.9
2022-05-19;53493.0;21.3;16.1
2022-06-05;44439.0;19.3;17.9
2022-06-10;52838.0;19.3;18.4
2022-06-12;45197.0;20.6;18.6
2022-06-16;55875.0;24.4;19.0
2022-06-17;56681.0;26.5;19.0
2022-06-26;44907.0;18.1;19.8
2022-06-30;53820.0;16.8;20.1
2022-07-04;53561.0;20.7;20.4
2022-07-16;48206.0;23.9;21.1
2022-07-21;55212.0;23.0;21.2
2022-07-27;52586.0;21.0;21.2
2022-07-31;44585.0;23.6;21.2
2022-08-07;43221.0;22.6;20.9
2022-08-09;49559.0;24.7;20.8
2022-08-21;43052.0;20.6;19.9
2022-08-24;53033.0;24.5;19.6
2022-08-25;53294.0;23.6;19.5
2022-08-28;44043.0;22.0;19.2
2022-09-03;46768.0;20.1;18.5
2022-09-05;53033.0;22.7;18.3
2022-09-06;52835.0;21.7;18.2
2022-09-09;51323.0;18.1;17.8
2022-09-11;44260.0;19.0;17.5
2022-09-16;51100.0;16.5;16.9
2022-09-21;51481.0;14.7;16.3
2022-09-26;52256.0;13.4;15.6
2022-10-10;51635.0;15.6;13.8
2022-10-11;51940.0;14.5;13.6
2022-10-15;46826.0;16.5;13.1
2022-10-16;44754.0;17.7;13.0
2022-10-24;51412.0;17.0;11.9
2022-10-27;50580.0;18.0;11.4
2022-10-29;44183.0;18.1;11.1
2022-11-11;50833.0;10.8;9.2
2022-11-20;56195.0;8.0;8.0
2022-11-28;66372.0;8.6;6.9
2022-11-30;69864.0;6.2;6.7
2022-12-04;66644.0;4.1;6.2
2022-12-07;75599.0;3.6;5.9
2022-12-20;65299.0;11.3;4.9
2022-12-22;61160.0;12.1;4.8
2022-12-28;59674.0;9.1;4.7
